pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
B1758-23,1801-2304,3,48453.95,348.0,1.0,0.0,2.0,"Espinoza+2011 [ elsk11 ], also in Wang+2000 [ wmp+00 ], Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,4,49701.7,66.0,2.0,2.0,2.0,"Espinoza+2011 [ elsk11 ], also in Wang+2000 [ wmp+00 ], Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,5,50055.3,22.0,1.0,-2.0,1.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ], Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,6,50363.06,81.0,1.0,2.0,2.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ], Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,7,50939.0,6.0,3.0,4.0,5.0,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,8,52093.0,646.7,0.2,0.9,0.2,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1758-23,1801-2304,9,53306.98,497.0,1.0,-1.0,1.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ ywml10 ]"
B1758-23,1801-2304,10,55360.0,2.9,0.7,,,Basu+2021 [ bsa+21 ]; also Yu+2012 [ ymh+12 ]
B1758-23,1801-2304,11,55841.0,1.7,0.5,,,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1758-23,1801-2304,12,56149.024,513.8,0.4,1.2,0.7,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1758-23,1801-2304,13,57586.2,48.67,0.05,0.79,0.03,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1758-23,1801-2304,14,58846.0,5.0,0.6,,,New - Our measurement
B1758-23,1801-2304,15,58993.5,374.0,5.0,,,New - Our measurement
B1800-21,1803-2137,1,48245.0,4074.4,0.3,9.3,0.1,"Espinoza+2011 [ elsk11 ], also in Shemar+1996 [ sl96 ]"
B1800-21,1803-2137,2,50264.1,7.1,0.2,0.5,0.1,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B1800-21,1803-2137,3,50777.0,3184.0,1.0,8.0,0.2,"Espinoza+2011 [ elsk11 ], also inWang+2000 [ wmp+00 ], Yu+2012 [ ymh+12 ]"
B1800-21,1803-2137,4,53429.0,3929.3,0.4,10.6,0.1,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ], Yu+2012 [ ymh+12 ]"
B1800-21,1803-2137,5,55775.0,4793.0,3.0,18.6,0.3,New - Our measurement; also in Lower+2021 [ ljd+21 ]
B1800-21,1803-2137,6,58958.0,4960.6,1.3,8.5,0.3,New - Our measurement. Also in Keith+2024 [ kjk+24 ]
J1806-2125,1806-2125,1,51708.0,15773.1,12.3,37.0,3.0,"Espinoza+2011 [ elsk11 ], also in Hobbs+2002 [hlj+02 ]"
J1809-0119,1809-0119,1,55406.0,1.7,0.3,0.0,6.0,"Our measurement, also in Bates+2012 [ bbb+12 ]"
J1809-0119,1809-0119,2,55803.0,3.0,0.4,0.0,13.0,"Our measurement, also in Bates+2012 [ bbb+12 ]"
B1809-173,1812-1718,1,49932.0,1.5,0.2,6.0,3.0,Espinoza+2011 [ elsk11 ]
B1809-173,1812-1718,2,53106.2,14.8,0.2,7.0,4.0,"Espinoza+2011 [ elsk11 ] also, in Yuan+2010 [ ywml10 ]"
B1809-173,1812-1718,3,54365.8,1.4,0.1,1.0,1.0,"Espinoza+2011 [ elsk11 ] also, in Yuan+2010 [ ywml10 ]"
J1809-1917,1809-1917,1,53251.0,1625.1,0.3,7.8,0.3,Espinoza+2011 [ elsk11 ]
J1809-2004,1809-2004,1,54196.0,2.0,1.0,7.0,7.0,Espinoza+2011 [ elsk11 ]
J1809-2004,1809-2004,2,56227.5,48.67,0.05,0.79,0.03,Basu+2021 [ bsa+21 ]
J1809-2004,1809-2004,3,58743.0,3.47,0.06,0.05,0.18,New - Our measurement
J1813-1246,1813-1246,1,55094.0,1166.0,0.4,6.4,0.3,Ray+2011 [rkp+11]
J1814-1744,1814-1744,1,51371.0,8.0,4.0,-3.0,1.0,Espinoza+2011 [ elsk11 ]
J1814-1744,1814-1744,2,51678.0,10.0,2.0,5.0,3.0,"Espinoza+2011 [ elsk11 ], also in Janssen+2006 [ js06 ]"
J1814-1744,1814-1744,3,52075.0,34.0,2.0,-5.0,3.0,"Espinoza+2011 [ elsk11 ], also in Janssen+2006 [ js06 ]"
J1814-1744,1814-1744,4,53241.0,3.0,1.0,0.7,0.4,"Espinoza+2011 [ elsk11 ], also in Janssen+2006 [ js06 ]"
J1814-1744,1814-1744,5,53756.4,11.0,2.0,8.0,4.0,Espinoza+2011 [ elsk11 ]
J1814-1744,1814-1744,6,54768.4,17.0,1.0,2.0,1.0,New - Our measurement
J1814-1744,1814-1744,7,55626.0,16.0,4.0,0.3,0.2,Basu+2021 [ bsa+21 ]
B1815-14,1818-1422,1,52057.0,0.54,0.05,-0.7,0.4,Yuan+2010 [ ywml10 ]
J1819-1458,1819-1458,1,53925.79,725.0,3.0,78.0,6.0,"Espinoza+2011 [ elsk11 ], also in Lyne+2009 [ lmk+09 ]"
J1819-1458,1819-1458,2,54176.5,72.0,1.0,36.0,2.0,"Espinoza+2011 [ elsk11 ], also in Lyne+2009 [ lmk+09 ]"
B1821-11,1824-1118,1,54306.0,2877.0,0.2,-10.0,2.0,Espinoza+2011 [ elsk11 ]
J1821-1419,1821-1419,1,53074.0,225.0,4.0,,,New - Our measurement
J1821-1419,1821-1419,2,57372.0,109.0,7.0,,,New - Our measurement
J1821-1419,1821-1419,3,58860.0,222.4,3.0,0.92,0.28,New - Our measurement
J1821-1419,1821-1419,4,59586.0,34.0,4.0,1.0,1.0,New - Our measurement
B1821-24A,1824-2452A,1,51980.0,0.008,0.001,0.0,0.04,"Espinoza+2011 [ elsk11 ], also in Cognard+2004 [ cb04 ]"
B1822-09,1825-0935,1,49942.1,2.8,0.2,-2.0,1.0,"Espinoza+2011 [ elsk11 ], also in Shabanova (1998) [ sha98 ]"
B1822-09,1825-0935,2,50314.0,1.3,0.2,0.0,1.0,Espinoza+2011 [ elsk11 ]
B1822-09,1825-0935,3,52056.0,29.8,0.1,3.4,0.2,"Espinoza+2011 [ elsk11 ], mentioned in Zou+2004 [ zww+04 ]"
B1822-09,1825-0935,4,52810.0,1.3,0.4,-2.0,3.0,"Espinoza+2011 [ elsk11 ], mentioned in Zou+2004 [ zww+04 ]"
B1822-09,1825-0935,5,53734.6,4.0,1.0,-6.0,5.0,"Espinoza+2011 [ elsk11 ], also in Shabanova (2007) [ sha07 ], Yuan+2010 [ ywml10 ]"
B1822-09,1825-0935,6,54114.96,121.0,1.0,-4.0,3.0,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ], Yu+2012 [ ymh+12 ]"
B1822-09,1825-0935,7,58486.2,3.8,0.1,,,New - Our measurement
B1823-13,1826-1334,1,46507.0,2746.0,1.0,1.7,0.1,"Espinoza+2011 [ elsk11 ], also in Shemar+1996 [ sl96 ]"
B1823-13,1826-1334,2,49120.0,2984.6,0.3,7.6,0.1,"Espinoza+2011 [ elsk11 ], also in Shemar+1996 [ sl96 ]"
B1823-13,1826-1334,3,53206.0,0.6,0.3,-1.0,1.0,Espinoza+2011 [ elsk11 ]
B1823-13,1826-1334,4,53259.0,3.0,1.0,-1.0,1.0,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ], Yu+2012 [ ymh+12 ]"
B1823-13,1826-1334,5,53737.0,3581.0,1.0,9.6,0.4,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ], Yu+2012 [ ymh+12 ]"
B1823-13,1826-1334,6,56556.0,2599.7,0.3,10.1,0.4,Basu+2021 [ bsa+21 ]
B1823-13,1826-1334,7,58879.0,2481.5,1.1,5.9,0.4,New - Our measurement. Also in Keith+2024 [ kjk+24 ]
B1824-10,1827-0958,1,48764.0,0.4,0.1,,,Basu+2021 [ bsa+21 ]
B1828-11,1830-1059,1,55040.9,6.3,0.5,,,Basu+2021 [ bsa+21 ]
J1828-1101,1828-1101,1,60719.0,1015.27,0.31,4.91,0.3,New - Our measurement
B1830-08,1833-0827,1,47541.3,0.9,0.1,-0.1,0.1,Espinoza+2011 [ elsk11 ]
B1830-08,1833-0827,2,48051.0,1865.6,0.1,1.742,0.001,"Espinoza+2011 [ elsk11 ], also in Shemar+1996 [ sl96 ]"
B1830-08,1833-0827,3,54779.0,0.5,0.1,0.15,0.08,Basu+2021 [ bsa+21 ]
B1830-08,1833-0827,4,58922.0,0.15,0.01,-0.03,0.01,New - Our measurement
B1830-08,1833-0827,5,60897.0,1.56,0.19,,,New - Our measurement
