# Source: Michon et al., Nat. Commun. 14, 3033 (2023), doi:10.1038/s41467-023-38762-5
# Open data: Yareta (University of Geneva), DOI 10.26037/yareta:zvtvqwmbl5emvd3bxr6sluurqi (CC-BY-4.0)
# Archive member: researchdata/for-yareta/experimental-data/Epsilon_LSCO-0p24.txt
# Fetched by scripts/fetch_michon2023.py; content below is verbatim.
#
# Complex relative dielectric function of La(2-x)Sr(x)CuO(4) at x=0.24 versus
# energy at temperatures T = [9,15,20,30,40,50,60,75,100,150,200,250,300] Kelvin
#
# Energy (eV)	Eps1 9K	Eps2 9K	Eps1 15K	Eps2 15K	Eps1 20K	Eps2 20K	Eps1 30K	Eps2 30K	Eps1 40K	Eps2 40K	Eps1 50K	Eps2 50K	Eps1 60K	Eps2 60K	Eps1 75K	Eps2 75K	Eps1 100K	Eps2 100K	Eps1 150K	Eps2 150K	Eps1 200K	Eps2 200K	Eps1 250K	Eps2 250K	Eps1 300K	Eps2 300K
#
0.0066951001	-41506.467	3913.3113	-38635.468	2781.9270	-41089.244	1793.2927	-40264.833	1293.8062	-36585.138	3200.7219	-36206.225	3150.9705	-33533.157	5953.7666	-17310.856	17184.561	-6084.4198	13863.504	-5390.4812	12699.437	-2172.6953	9453.3652	-623.75923	6823.6548	-108.34851	4835.7437
0.0068146200	-43093.942	5055.6528	-40862.699	9030.8125	-43331.890	8845.7148	-41124.956	7275.7583	-36637.108	7948.0649	-35451.947	6836.3760	-32024.557	8374.4912	-15363.161	17181.365	-5295.0078	13093.830	-4705.8950	11913.514	-1834.4114	8811.8096	-476.61695	6352.3696	22.821483	4444.4370
0.0069341399	-42782.293	1461.4313	-47529.773	6988.3833	-51059.207	7127.8027	-47167.324	7335.9780	-41401.167	9584.9600	-38713.823	9068.2979	-33808.293	10897.443	-14299.049	18958.063	-4136.8590	13435.540	-3489.6574	12182.748	-976.38350	8810.1953	137.35573	6231.0010	509.69084	4320.5571
0.0070537841	-39699.263	1703.0033	-46312.129	-996.85913	-49932.896	-2794.2742	-47309.995	-1544.3785	-43883.292	2349.0178	-41139.717	3395.2854	-36640.716	7188.7593	-16447.326	19746.285	-4562.8076	14463.758	-3805.7220	13289.677	-1024.4520	9614.7529	272.36331	6803.7251	691.85811	4767.7036
0.0071733040	-39323.340	4004.7905	-41146.920	-834.80457	-43654.850	-2742.3240	-40996.638	-2495.3286	-38668.377	-760.51306	-37030.671	748.51392	-34063.610	4126.6777	-17566.616	17913.959	-5655.9624	14305.147	-5000.9570	13262.125	-1839.9032	9771.7578	-235.82190	7107.5083	347.49229	5081.8667
0.0072928239	-42082.300	3556.7544	-41212.147	2221.7600	-43108.893	581.90411	-39405.654	1252.6001	-36255.632	2110.6973	-34833.870	2972.9968	-31729.228	5175.6987	-16317.407	16869.623	-5764.6846	13383.955	-5232.3642	12268.460	-2120.0618	9109.1543	-574.71280	6749.1143	31.867999	4861.1025
0.0074123438	-41382.587	-2954.8369	-42951.682	-1781.9286	-45142.666	-2401.5356	-41678.930	510.62646	-37721.590	1871.6079	-36116.071	3139.1719	-32223.461	5604.0488	-15622.912	17464.953	-5101.7972	13173.835	-4517.6786	11940.229	-1612.1161	8783.0225	-312.87417	6445.6855	199.71843	4587.2910
0.0075319875	-35476.421	-4725.9897	-38318.207	-6483.9106	-40323.525	-8302.2354	-38884.587	-5428.9277	-35679.868	-3045.3320	-35024.827	-1311.8981	-31757.146	2271.9326	-16999.418	17080.803	-5466.3398	13510.150	-4742.4787	12258.525	-1677.4500	9121.4521	-306.06207	6667.6460	257.82082	4745.2788
0.0076515079	-32353.215	-1748.5267	-32920.608	-5150.2954	-34492.936	-6543.0063	-33301.919	-4608.9810	-30838.110	-2719.5801	-30672.199	-1883.9518	-28555.326	1450.4303	-17107.876	15315.574	-6241.7844	13007.087	-5459.5800	11824.292	-2260.0581	9036.9297	-728.74573	6700.8579	-46.142675	4840.0703
0.0077710277	-33270.663	394.53452	-31447.350	-1675.5228	-32600.866	-3255.9336	-31136.733	-1374.9399	-28767.687	48.795261	-28236.910	261.00626	-26387.519	2588.9707	-15813.640	14419.783	-6102.1508	12024.026	-5279.4593	10880.183	-2376.8833	8390.9414	-911.13507	6256.9150	-254.73236	4517.8809
0.0078906715	-33575.244	-3090.9055	-32303.855	-1161.9543	-33030.404	-2105.7222	-31629.710	337.57071	-29112.954	1518.1469	-28180.016	1922.2880	-25994.022	3826.3264	-14901.460	14826.231	-5260.5311	11830.005	-4360.2657	10724.229	-1812.0249	8103.1909	-546.49700	5963.5288	30.551862	4214.5103
0.0080101918	-29248.254	-5091.4268	-31096.397	-3591.7712	-31975.691	-4039.5884	-31733.934	-1131.3252	-29271.544	275.48242	-28424.784	983.39642	-26002.114	2960.9424	-15569.270	14752.486	-5435.9214	12246.383	-4449.8199	11273.315	-1773.8752	8474.0332	-449.95978	6215.8525	219.78440	4402.2661
0.0081297113	-26068.669	-2753.1997	-27584.661	-3703.4893	-28620.508	-4166.5483	-29300.226	-2264.4094	-27244.360	-899.84961	-26727.688	-218.48659	-24623.811	2136.4272	-15851.219	13375.917	-6338.4068	11810.185	-5415.5227	11030.190	-2476.4283	8485.1152	-941.85444	6335.7310	-124.35750	4658.2910
0.0082492316	-25656.639	-411.00092	-25654.880	-1234.2137	-26485.211	-1728.0687	-26896.753	-882.67584	-24978.325	39.479111	-24565.094	404.39313	-22739.488	2243.9690	-14682.409	12153.876	-6253.6564	10552.394	-5483.4984	9814.2197	-2749.4274	7657.6919	-1258.2380	5780.6509	-520.91762	4293.2085
0.0083688749	-25867.695	-624.21979	-26128.078	697.31128	-26868.758	727.17993	-26638.502	1350.4362	-24443.777	1938.5771	-23786.839	2028.1091	-21800.333	3775.1826	-13056.470	12547.880	-5017.3995	10145.252	-4314.9021	9348.8652	-2010.3774	7138.2187	-792.28150	5294.5493	-218.19774	3807.9600
0.0084883953	-24338.550	-1331.0261	-26372.439	-642.58282	-27572.840	-228.93121	-27295.494	947.96002	-24834.994	1787.4138	-24034.184	2249.2693	-22150.660	4043.0088	-12976.328	13402.601	-4506.2732	10743.417	-3787.7266	9903.7979	-1566.5033	7453.4741	-403.50888	5449.6611	154.50578	3848.9521
0.0086079147	-22929.310	52.084034	-24453.463	-1148.4640	-26044.926	-1051.6592	-26075.717	-210.54117	-23862.394	941.15704	-23416.610	1455.3992	-21776.525	3094.3372	-13835.249	13051.127	-5265.8508	11060.410	-4525.9364	10239.658	-2070.1892	7810.8613	-682.53587	5796.4927	33.856926	4191.8599
0.0087275589	-22784.126	1085.2509	-23013.896	244.43486	-24521.945	57.603561	-24328.632	607.50946	-22257.275	1515.9783	-21967.886	1634.5118	-20284.755	2929.6575	-13504.562	11979.971	-5674.3771	10218.919	-4929.0544	9405.3359	-2532.8821	7230.5532	-1097.5852	5477.5957	-349.96532	4040.8625
0.0088470792	-22895.888	1093.2532	-22931.917	1445.3868	-24372.378	1373.0416	-23844.871	2054.2446	-21758.036	3107.0610	-21142.420	2799.6667	-19292.861	4140.9404	-12287.637	12038.829	-4858.3353	9669.5840	-4082.3649	8858.9932	-1979.6321	6646.3525	-795.42225	4987.1001	-191.78033	3603.1208
0.0089665987	-22109.422	542.75629	-22872.174	1265.4974	-24474.412	1189.1113	-24137.147	2474.0603	-22317.452	3560.0537	-21318.518	3649.2012	-19563.001	5021.0728	-12056.753	12810.462	-4278.1780	10035.947	-3469.8608	9247.3896	-1414.6777	6806.1421	-371.61575	5018.9663	187.38614	3538.7727
0.0090861190	-21013.530	1252.2570	-22328.642	1725.6810	-23916.246	1334.6290	-24245.834	2490.8630	-22589.898	3288.5464	-21800.585	3605.1277	-20079.507	4652.7441	-12904.904	12787.493	-4794.4810	10396.986	-3980.7138	9671.6855	-1653.3050	7233.6821	-475.74283	5353.8643	234.27322	3844.8398
0.0092057623	-21093.771	2505.4907	-22529.252	2420.0317	-24010.053	2094.5815	-24551.761	2538.3657	-22691.859	3133.2468	-21963.164	3134.5430	-19886.959	4184.5039	-13012.382	12190.532	-5139.1856	9927.8594	-4320.2405	9228.7744	-1981.2281	7034.5293	-738.69445	5254.8193	7.5004093	3903.3494
0.0093252826	-22085.998	2181.0247	-23124.551	1819.0065	-24637.275	1395.5166	-24844.769	1413.2065	-22755.140	2263.7998	-21841.901	2441.8276	-19663.881	3963.5330	-12791.233	12083.896	-4695.2074	9637.8252	-3841.0600	8965.3330	-1730.7248	6777.1538	-581.62390	5021.0166	34.159938	3715.5222
0.0094448030	-21258.731	201.50806	-22371.717	384.94308	-23800.476	-183.59514	-23602.571	-181.30997	-21887.238	1151.9662	-21049.747	1394.0811	-19294.695	3136.6157	-13241.448	11737.991	-4631.0947	9888.4160	-3761.6870	9292.3643	-1645.8089	6965.4092	-460.35814	5141.7905	157.51133	3753.1489
0.0095644463	-19409.906	853.15668	-20793.835	495.03076	-22065.499	-163.89043	-21761.883	32.104771	-20510.633	1044.9028	-19725.472	1264.4021	-18244.120	2752.2639	-13326.762	10696.964	-5262.8176	9755.4688	-4438.5383	9262.7363	-2120.5959	7011.2397	-773.50417	5275.0317	-41.396092	3924.9199
0.0096839666	-19180.310	2444.0859	-20147.918	1623.3694	-21274.456	963.51978	-20908.391	1090.6821	-19630.318	1672.6115	-18834.481	1821.3046	-17275.730	3132.4741	-12456.773	10125.862	-5281.0301	9010.6387	-4534.6483	8550.6250	-2265.3341	6494.8960	-969.58476	4944.9341	-283.57439	3712.6541
0.0098034861	-20294.223	2661.6309	-20692.801	2281.2537	-21682.158	1634.9507	-21178.027	1874.9362	-19601.990	2370.0115	-18688.372	2455.6426	-17069.087	3983.7766	-11716.493	10547.743	-4549.6258	8790.4248	-3869.0213	8297.8848	-1788.0220	6208.5771	-675.25660	4659.1108	-86.684478	3402.2158
0.0099230064	-20486.275	1072.5316	-21286.695	1449.0813	-22095.516	855.00427	-21733.338	1317.2461	-20069.855	2163.9695	-19011.254	2384.5757	-17665.103	4017.1567	-12109.810	11054.110	-4272.1512	9308.9834	-3605.6467	8759.2959	-1485.7824	6514.6284	-392.75609	4820.8286	226.12320	3461.7046
0.010042651	-19524.889	723.83380	-20870.162	497.75946	-21557.177	47.479599	-21333.442	186.98636	-19913.914	1140.9781	-18926.694	1570.0325	-17864.463	3042.4868	-13077.417	10485.754	-5100.5726	9589.4277	-4364.5765	9033.5869	-1971.8684	6883.6650	-657.02785	5173.9238	114.18959	3846.3108
0.010162170	-19298.121	845.79150	-20481.822	205.22476	-20975.333	-151.89607	-20373.410	-290.82303	-19184.898	678.34705	-18199.525	996.68463	-17205.121	2283.9673	-13120.539	9291.3057	-5654.0133	8880.6172	-4889.1712	8362.7266	-2477.3420	6516.0630	-1075.9123	5017.2759	-289.45178	3822.3291
0.010281690	-18931.845	-260.50757	-19930.100	-985.97430	-20581.033	-738.58868	-19480.718	-543.98193	-18443.783	263.08051	-17388.975	815.48279	-16410.678	2018.0309	-12448.620	8549.2998	-5350.1171	8227.5723	-4556.1274	7742.6406	-2356.2613	6022.0010	-1078.0016	4652.3945	-331.30007	3490.8123
0.010401334	-17484.635	-810.04236	-18155.500	-1845.2791	-19220.162	-1739.8218	-18476.053	-754.01501	-17566.121	23.283236	-16696.289	767.20428	-15760.648	1898.6152	-11851.235	8386.1563	-4989.5324	8134.9409	-4155.3054	7712.4810	-2099.6173	5935.3945	-911.11235	4551.6206	-144.17791	3389.6699
0.010520854	-16430.299	-105.30624	-16615.076	-1073.1554	-17734.239	-1183.5937	-17432.852	-575.71149	-16648.768	21.483450	-16008.704	720.26593	-15144.664	1787.7711	-11670.680	8121.4819	-5193.7431	8035.4312	-4379.1934	7739.1279	-2294.6467	5959.7090	-1055.7773	4600.5161	-239.06391	3527.1487
0.010640374	-16149.263	338.79031	-16198.313	-103.08389	-17232.976	-339.38840	-16714.564	-108.05085	-15899.314	310.88351	-15341.397	866.76184	-14462.041	1757.0638	-11308.824	7624.5625	-5261.1791	7484.0801	-4567.9727	7246.6401	-2496.6847	5576.7935	-1270.4177	4346.2119	-495.20606	3379.2505
0.010759894	-15863.576	229.84433	-16135.962	-102.48929	-17009.358	-332.80316	-16221.042	123.97613	-15384.628	582.74719	-14836.283	1088.6456	-13779.419	1968.1810	-10571.907	7486.8525	-4725.3828	7087.5049	-4103.9801	6802.4868	-2196.4208	5155.2646	-1116.0114	3982.2144	-406.04218	3035.4685
0.010879538	-15192.036	215.40456	-15436.412	-383.67053	-16264.945	-414.97830	-15500.637	212.34583	-14850.881	734.43195	-14404.436	1216.4828	-13397.908	2499.4619	-10041.633	7940.9146	-4142.3292	7300.6260	-3502.6591	6965.0913	-1716.3151	5166.4209	-767.30134	3909.6699	-72.434091	2935.0532
0.010999057	-14787.694	829.25854	-14727.596	125.13400	-15668.796	225.62396	-14881.574	837.17804	-14480.671	1235.0255	-14046.671	1425.4792	-13453.496	2792.8958	-10283.811	8240.9287	-4333.3368	7669.1421	-3651.1627	7356.8105	-1761.0427	5450.0347	-765.58598	4101.6494	6.3302549	3177.6497
0.011118578	-15070.620	1133.3163	-14130.113	361.37534	-15163.936	485.97226	-13950.696	1000.7751	-14296.526	1385.3486	-13544.132	1349.3618	-13505.960	2631.2954	-10622.919	7918.1704	-4769.8675	7418.4741	-4093.2601	7132.3901	-2158.7005	5213.8315	-1118.3741	3904.7471	-304.58989	3230.5667
0.011238222	-14948.033	374.90283	-13923.696	1281.1206	-15291.577	1668.4301	-13810.727	3201.1165	-14236.265	1742.0769	-13111.696	1911.7141	-13389.987	2538.7034	-10497.559	7586.6680	-4552.6656	7130.8154	-3779.6042	6917.7871	-1689.6733	4924.3672	-649.53557	3587.9338	-188.32650	2973.5264
0.011477262	-13867.026	498.64261	-14203.783	1320.1095	-16103.645	583.09259	-16124.980	2626.0520	-14148.649	1295.2771	-12988.692	2195.4739	-13113.678	1982.7434	-10235.887	6927.3765	-4629.8680	6744.6538	-4046.8629	6839.3457	-1665.4243	5149.3477	-620.79723	3905.8052	-223.66834	3019.1965
0.011716425	-13167.143	537.16071	-13796.114	1098.9570	-15017.038	-276.07251	-15632.240	921.09076	-13260.881	942.76215	-12604.707	2097.7283	-12107.933	1078.7803	-9646.2387	6534.2979	-4258.9755	6327.3579	-4134.1197	6258.9473	-1776.3586	5051.6226	-724.33811	3801.0142	-254.47324	2844.8499
