obsid,name,mjd_start,exposure_s
1020180260,PSR_B0833-45,58394.0261574074,3963.0
1020180261,PSR_B0833-45,58395.0560185185,1137.0
1020180262,PSR_B0833-45,58402.0923611111,2758.0
1020180263,PSR_B0833-45,58403.4967592593,909.0
1020180264,PSR_B0833-45,58411.5263888889,2226.0
1020180265,PSR_B0833-45,58414.4906365741,1917.0
1020180266,PSR_B0833-45,58415.2012731481,1319.0
1020180267,PSR_B0833-45,58417.3912037037,958.0
1020180268,PSR_B0833-45,58422.3359143519,2384.0
1020180269,PSR_B0833-45,58424.5254861111,431.0
1020180270,PSR_B0833-45,58430.6070717593,0.0
1020180271,PSR_B0833-45,58432.4030092593,682.0
1020180272,PSR_B0833-45,58433.6277546296,1481.0
1020180273,PSR_B0833-45,58434.0136342593,2107.0
1020180274,PSR_B0833-45,58435.0421064815,5278.0
1020180275,PSR_B0833-45,58436.0060069444,3339.0
1020180276,PSR_B0833-45,58437.1636574074,22.0
1020180277,PSR_B0833-45,58438.1935185185,3711.0
1020180278,PSR_B0833-45,58457.8990625,57.0
1020180279,PSR_B0833-45,58458.087025463,411.0
1020180280,PSR_B0833-45,58459.055787037,165.0
1020180281,PSR_B0833-45,58460.0219907407,4640.0
1020180282,PSR_B0833-45,58461.0527662037,5803.0
1020180283,PSR_B0833-45,58462.0114351852,3726.0
1020180284,PSR_B0833-45,58463.1708333333,2968.0
1020180285,PSR_B0833-45,58463.9991203704,4949.0
1020180286,PSR_B0833-45,58466.3240740741,5629.0
1020180287,PSR_B0833-45,58467.0293981481,807.0
1020180288,PSR_B0833-45,58470.7459143518,2226.03571370244
1020180289,PSR_B0833-45,58474.7592592593,1584.0
1020180290,PSR_B0833-45,58475.0115740741,1390.0
1020180291,PSR_B0833-45,58479.1136574074,976.0
1020180292,PSR_B0833-45,58480.079375,686.0
1020180293,PSR_B0833-45,58481.2555439815,312.0
1020180294,PSR_B0833-45,58482.1358564815,517.0
1020180295,PSR_B0833-45,58483.3624884259,709.0
1020180296,PSR_B0833-45,58488.6412037037,3607.0
1020180297,PSR_B0833-45,58489.4771296296,2673.0
1020180298,PSR_B0833-45,58489.9943634259,5774.0
1020180299,PSR_B0833-45,58492.2498842593,1390.0
1020180301,PSR_B0833-45,58493.3928240741,0.0
1020180302,PSR_B0833-45,58518.9272106482,795.247402310371
1020180303,PSR_B0833-45,58519.0418055556,6496.0
1020180304,PSR_B0833-45,58520.3291435185,3430.0
1020180305,PSR_B0833-45,58521.2303472222,3762.0
1020180306,PSR_B0833-45,58522.067662037,217.0
1020180307,PSR_B0833-45,58527.6787037037,951.855098187923
1020180308,PSR_B0833-45,58528.3732986111,3875.0
1020180309,PSR_B0833-45,58531.5272800926,2586.0
1020180310,PSR_B0833-45,58533.7164351852,93.0
1020180311,PSR_B0833-45,58535.0703587963,1577.0
1020180312,PSR_B0833-45,58537.1923611111,871.0
1020180313,PSR_B0833-45,58538.8018402778,94.0
1020180314,PSR_B0833-45,58538.9948148148,2863.31544914842
1020180315,PSR_B0833-45,58540.5372685185,1073.0
1020180316,PSR_B0833-45,58541.2511574074,4188.0
1020180317,PSR_B0833-45,58542.0856365741,3980.0
1020180318,PSR_B0833-45,58543.1178240741,7657.0
2020180301,PSR_B0833-45,58544.0210648148,3954.0
2020180302,PSR_B0833-45,58545.0534722222,399.0
2020180303,PSR_B0833-45,58547.6310185185,274.0
2020180304,PSR_B0833-45,58548.0194097222,248.0
2020180305,PSR_B0833-45,58549.6273148148,255.0
2020180306,PSR_B0833-45,58550.2699074074,449.0
2020180307,PSR_B0833-45,58553.2386574074,1098.0
2020180308,PSR_B0833-45,58556.7289351852,1239.0
2020180309,PSR_B0833-45,58562.4951273148,1405.0
2020180310,PSR_B0833-45,58575.6777777778,4682.0
2020180311,PSR_B0833-45,58583.9701388889,930.0
2020180312,PSR_B0833-45,58584.0360416667,2847.0
2020180313,PSR_B0833-45,58586.8688541667,1628.0
2020180314,PSR_B0833-45,58586.9975694444,492.0
2020180315,PSR_B0833-45,58591.762337963,1753.0
2020180316,PSR_B0833-45,58592.0201157407,1181.0
2020180317,PSR_B0833-45,58602.5962962963,710.0
2020180318,PSR_B0833-45,58609.4878703704,1371.0
2020180319,PSR_B0833-45,58610.2530092593,34.0
2020180320,PSR_B0833-45,58612.1187037037,1536.0
2020180321,PSR_B0833-45,58614.1171296296,7.0
2020180322,PSR_B0833-45,58626.0242939815,1366.0
2020180323,PSR_B0833-45,58627.2599537037,2852.0
2020180324,PSR_B0833-45,58628.0217592593,1285.0
2020180325,PSR_B0833-45,58629.6323958333,5038.0
2020180326,PSR_B0833-45,58630.1604166667,10234.0
2020180327,PSR_B0833-45,58632.01875,1887.0
2020180328,PSR_B0833-45,58634.6672800926,3940.0
2020180329,PSR_B0833-45,58663.8826388889,718.0
2020180330,PSR_B0833-45,58664.2048611111,3671.0
2020180331,PSR_B0833-45,58665.1726851852,1322.0
2020180332,PSR_B0833-45,58666.0092592593,6164.0
2020180333,PSR_B0833-45,58667.0416666667,4824.0
2020180334,PSR_B0833-45,58668.199537037,6376.0
2020180335,PSR_B0833-45,58669.0409027778,8840.0
2020180336,PSR_B0833-45,58670.005787037,10453.0
2020180337,PSR_B0833-45,58671.0451388889,7646.0
2020180338,PSR_B0833-45,58673.5536805556,4134.0
2020180339,PSR_B0833-45,58674.0057638889,5141.0
2020180340,PSR_B0833-45,58675.2275462963,2736.92236632109
2020180341,PSR_B0833-45,58676.004375,2024.0
2020180342,PSR_B0833-45,58677.8114236111,618.0
2020180343,PSR_B0833-45,58680.4097222222,446.0
2020180344,PSR_B0833-45,58686.3178240741,224.0
2020180345,PSR_B0833-45,58687.0914351852,14.0
2020180346,PSR_B0833-45,58688.7747685185,0.0
2020180347,PSR_B0833-45,58689.0326388889,0.0
2020180348,PSR_B0833-45,58690.062037037,0.0
2020180349,PSR_B0833-45,58691.03125,0.0
2020180350,PSR_B0833-45,58693.4335648148,0.0
2020180351,PSR_B0833-45,58694.0619212963,0.0
2020180352,PSR_B0833-45,58696.0717592593,2.0
2020180353,PSR_B0833-45,58697.5395833333,43.0
2020180354,PSR_B0833-45,58698.187037037,371.0
2020180355,PSR_B0833-45,58699.1543981481,174.0
2020180356,PSR_B0833-45,58700.0611111111,105.0
2020180357,PSR_B0833-45,58701.0933101852,1.0
2020180358,PSR_B0833-45,58701.9947222222,0.0
2020180359,PSR_B0833-45,58703.0274884259,0.0
2020180360,PSR_B0833-45,58703.9951388889,0.0
2020180361,PSR_B0833-45,58705.1577893519,0.0
2020180362,PSR_B0833-45,58723.03625,0.0
2020180363,PSR_B0833-45,58724.8479166667,0.0
2020180364,PSR_B0833-45,58725.1060185185,0.0
2020180365,PSR_B0833-45,58728.6430787037,0.0
2020180366,PSR_B0833-45,58729.0940972222,0.0
2020180367,PSR_B0833-45,58730.6413425926,0.0
2020180368,PSR_B0833-45,58731.2833333333,0.0
2020180369,PSR_B0833-45,58731.9928240741,0.0
2020180370,PSR_B0833-45,58733.1101851852,0.0
2020180371,PSR_B0833-45,58742.955787037,0.0
2020180372,PSR_B0833-45,58743.0203703704,0.0
2020180373,PSR_B0833-45,58744.1187384259,0.0
2020180374,PSR_B0833-45,58745.1518518518,0.0
2020180375,PSR_B0833-45,58746.1224537037,0.0
2020180376,PSR_B0833-45,58747.2833333333,0.0
2020180377,PSR_B0833-45,58748.2516203704,0.0
2020180378,PSR_B0833-45,58749.2185185185,161.0
2020180379,PSR_B0833-45,58750.3138888889,0.0
2020180380,PSR_B0833-45,58753.212962963,0.0
2020180381,PSR_B0833-45,58754.4584490741,0.0
2020180382,PSR_B0833-45,58757.8618055556,221.0
2020180383,PSR_B0833-45,58758.0585648148,55.0
2020180384,PSR_B0833-45,58759.0261574074,183.0
2020180385,PSR_B0833-45,58777.799537037,747.0
2020180386,PSR_B0833-45,58779.1564814815,730.0
2020180387,PSR_B0833-45,58800.7207638889,698.0
2020180388,PSR_B0833-45,58801.1084953704,609.0
2020180389,PSR_B0833-45,58802.3345717593,414.0
2020180390,PSR_B0833-45,58803.3024768519,270.0
2020180391,PSR_B0833-45,58804.6592824074,1853.0
2020180392,PSR_B0833-45,58805.1098032407,2425.0
