burst_id,mjd_bary,fluence_jyms,energy_1e36erg
751,59895.512919173,1.068,77.03
752,59895.513444272,2.66,191.86
753,59895.513760546,0.138,9.95
754,59895.513867799,0.143,10.29
755,59895.513868996,0.822,59.26
756,59895.514338350,0.368,26.53
757,59895.515015014,0.034,2.48
758,59895.515611233,0.404,29.16
759,59895.515888172,0.112,8.11
760,59895.517577413,0.038,2.72
761,59895.517584003,0.087,6.31
762,59895.517838092,0.863,62.27
763,59895.518240596,0.257,18.54
764,59895.519353047,4.327,312.15
765,59895.519688874,0.224,16.16
766,59895.519855995,0.098,7.09
767,59895.520220635,1.564,112.82
768,59895.520656886,0.126,9.11
769,59895.521008264,1.23,88.75
770,59895.521457622,7.881,568.55
771,59895.521770275,0.042,3.05
772,59897.497046207,0.457,32.94
773,59897.497106860,1.31,94.48
774,59897.497244995,0.035,2.51
775,59897.498211041,0.11,7.92
776,59897.499032936,0.022,1.6
777,59897.499074883,0.554,39.94
778,59897.499165146,0.851,61.41
779,59897.499185975,0.164,11.8
780,59897.499677523,5.863,422.94
781,59897.499826722,0.1,7.2
782,59897.499915874,37.735,2722.16
783,59897.500684265,0.059,4.22
784,59897.501111492,2.384,171.94
785,59897.501169428,0.031,2.25
786,59897.501655768,0.157,11.33
787,59897.501908299,0.145,10.44
788,59897.501955118,0.783,56.47
789,59897.502894412,0.178,12.84
790,59897.502895009,0.509,36.73
791,59897.502975723,0.244,17.63
792,59897.503258636,0.014,1.0
793,59897.504144930,0.141,10.18
794,59897.504464205,0.163,11.78
795,59897.504683755,0.312,22.48
796,59897.504708489,0.041,2.97
797,59897.504920093,0.049,3.55
798,59897.505762960,0.064,4.62
799,59897.505983579,0.052,3.75
800,59897.506358213,0.105,7.6
801,59897.506486577,1.211,87.39
802,59897.506624926,0.071,5.13
803,59897.506642689,0.061,4.43
804,59897.506995769,0.02,1.47
805,59897.507204169,0.253,18.27
806,59897.507345472,0.285,20.55
807,59897.507588957,0.285,20.54
808,59897.507733154,1.074,77.48
809,59897.507735634,0.275,19.83
810,59897.507866824,0.795,57.34
811,59897.508223705,3.767,271.77
812,59897.509481809,0.058,4.21
813,59897.509520653,14.214,1025.37
814,59897.509620399,0.077,5.54
815,59897.510625745,0.168,12.14
816,59897.511881956,0.377,27.23
817,59897.513479464,0.071,5.13
