burst_id,mjd_topo,snr
B00551,60375.15715633,23
B00552,60375.15736166,224.4
B00553,60375.15736955,124.1
B00554,60375.15737741,21.4
B00555,60375.15739882,31.9
B00561,60375.15795563,190.5
B00564,60375.15841081,105.2
B00566,60375.15843636,192.8
B00567,60375.15846265,37
B00568,60375.15855432,112.8
B00573,60375.15889741,69.6
B00574,60375.15889762,31.9
B00576,60375.15900063,90
B00577,60375.15923099,25.3
B00578,60375.15931204,54.8
B00579,60375.15943426,311.7
B00580,60375.15943975,26.5
B00581,60375.15944933,300.3
B00582,60375.15944952,230
B00583,60375.15947743,33.3
B00584,60375.15955699,310.7
B00585,60375.15960448,173.4
B00587,60375.15992388,25.5
B00589,60375.16013989,33.2
B00590,60375.16014016,56.6
B00592,60375.16021953,38.8
B00593,60375.16023933,39.9
B00594,60375.16029133,43
B00598,60375.16051781,29.9
B00604,60375.16089435,31.7
B00605,60375.16095018,41.3
B00606,60375.16117241,24.5
B00608,60375.16126074,57.9
B00609,60375.16143747,58
B00611,60375.16164254,84.1
B00612,60375.16173818,30.1
B00613,60375.16181784,20.8
B00614,60375.16181807,122.9
B00615,60375.16187703,143.9
B00616,60375.16207103,214.6
B00617,60375.16221645,56.5
B00618,60375.16248023,67.5
B00619,60375.16248035,91.3
B00622,60375.1629434,70.1
B00623,60375.16302725,31.5
B00624,60375.16302757,28.5
B00627,60375.16316955,43.9
B00628,60375.16317318,62.1
B00630,60375.16336849,42.5
B00631,60375.16336857,42.8
B00632,60375.16344338,55.7
B00633,60375.16357656,24
B00634,60375.1637775,53.1
B00635,60375.16411951,706
B00637,60375.16449324,99.7
B00640,60375.16506528,103.3
B00642,60375.16521449,25.3
B00647,60375.16568369,22.4
B00648,60375.16568426,244.4
B00649,60375.16585023,35.2
B00651,60375.16596451,1061.6
B00652,60375.16596498,35.7
B00653,60375.16610084,20.2
B00656,60375.16628245,249.1
B00657,60375.16635833,35.7
B00658,60375.16642157,178
B00659,60375.1664218,66.8
B00660,60375.16642238,127.6
B00662,60375.16646402,90.1
B00663,60375.16648199,28.8
B00664,60375.16651864,196.3
B00665,60375.16652839,29.4
B00666,60375.16661046,98.9
B00667,60375.16669484,748.6
B00670,60375.16694903,53.8
B00671,60375.16694943,50.8
B00672,60375.16701252,87.4
B00673,60375.16702991,31.8
B00675,60375.16716006,161.5
B00677,60375.16727748,95.6
