repeater_name,tns_name,mjd_400,fluence_jyms,excluded_flag
FRB20180908B,FRB20190621A,58655.09819355318,1.007388918185596,1
FRB20180814A,FRB20190625E,58659.7387355582,4.151633954673074,0
FRB20180814A,FRB20190626A,58660.776305802,5.3,0
FRB20190117A,FRB20190630A,58664.482458901024,7.170360721709597,0
FRB20180908B,FRB20190702A,58666.08211430129,1.6125743119487015,0
FRB20190303A,FRB20190702B,58666.135219232536,8.153470036052699,0
FRB20190716C,FRB20190716C,58680.22457488462,nan,0
FRB20180908B,FRB20190718A,58682.04956852473,6.140590630590733,0
FRB20190804E,FRB20190804E,58699.19214600732,6.458921704859561,0
FRB20171019A,FRB20190805B,58700.38967866479,22.22596841918129,0
FRB20190417A,FRB20190806A,58701.27580796821,5.191888555012133,0
FRB20180916B,FRB20190809A,58704.53529176534,5.424680137222415,0
FRB20190117A,FRB20190810A,58705.369787953496,33.04502249760659,0
FRB20180916B,FRB20190810B,58705.53453090043,nan,0
FRB20190117A,FRB20190815A,58710.35685572477,12.86486627010873,0
FRB20180814A,FRB20190817A,58712.61108551544,4.900903728677861,0
FRB20190117A,FRB20190824A,58719.332657556704,6.271641401944011,0
FRB20180916B,FRB20190825A,58720.491986878704,17.585793834009223,0
FRB20180916B,FRB20190825B,58720.49447880144,2.6699350180087147,0
FRB20180916B,FRB20190825C,58720.495658060696,3.235873417298885,0
FRB20190905A,FRB20190905A,58731.38419146713,1.8132868724886468,0
FRB20190907A,FRB20190907A,58733.71027547055,0.4804862139921662,0
FRB20190915D,FRB20190915D,58741.38516949552,13.392511600103575,0
FRB20190907A,FRB20190915A,58741.685894890055,1.9059543308483682,0
FRB20180910A,FRB20190925C,58751.21710672186,9.927124785153667,0
FRB20190907A,FRB20190925A,58751.662626431076,0.7911909660846832,0
FRB20181119A,FRB20190926A,58752.846859977646,2.28787318922519,0
FRB20190417A,FRB20190929A,58755.13513536488,3.519066573323973,0
FRB20190929E,FRB20190929E,58755.178700742465,3.9590435475643986,0
FRB20180814A,FRB20190929C,58755.49901106878,5.165854011280487,0
FRB20191013D,FRB20191013D,58769.38854080589,11.335696043101377,0
FRB20190303A,FRB20191013A,58769.85516568217,1.2344493034512591,0
FRB20190303A,FRB20191020A,58776.82558866562,4.494993152990924,1
FRB20190430C,FRB20191024B,58780.016246194136,2.628629569505073,0
FRB20190430C,FRB20191028B,58784.00262356037,2.219763521094317,1
FRB20191026A,FRB20191026A,58782.39159302016,16.6574131714344,1
FRB20191026A,FRB20191026B,58782.39244981089,21.65915707432027,1
FRB20180814A,FRB20191029A,58785.40415178567,3.9840903832379686,0
FRB20180916B,FRB20191030A,58786.315242869314,1.222823898097192,0
FRB20180916B,FRB20191030B,58786.32074899342,3.5659932163946952,0
FRB20191106C,FRB20191106C,58793.76042830505,1.6786157212592028,0
FRB20180814A,FRB20191107A,58794.89105567345,0.9327428024561709,0
FRB20190110C,FRB20191107C,58794.89441542932,2.5608916802008728,0
FRB20190303A,FRB20191110A,58797.77293453191,13.357302253358593,0
FRB20180814A,FRB20191111A,58798.37170753662,3.844628685928009,0
FRB20191113C,FRB20191113C,58800.568639310244,1.257333027164773,0
FRB20190303A,FRB20191113A,58800.75865309197,8.655852298405694,0
FRB20191114A,FRB20191114A,58801.946135170954,4.692593998274659,0
FRB20190303A,FRB20191116A,58803.75684231089,10.77684468349514,1
FRB20190303A,FRB20191117A,58804.76286510328,3.8475867013345337,0
FRB20181119A,FRB20191205A,58822.6557303666,2.435055475819283,0
FRB20190303A,FRB20191215A,58832.676196660184,2.095424415595624,0
FRB20190212A,FRB20191217A,58834.36036835851,6.199843721791627,0
FRB20180916B,FRB20191218A,58835.173236389346,1.9058307671063635,0
FRB20180916B,FRB20191219A,58836.17197670107,2.1834096268645067,1
FRB20180916B,FRB20191219B,58836.17451638251,8.66077185289986,1
FRB20190212A,FRB20191220A,58837.359489397975,nan,0
FRB20190117A,FRB20191223A,58840.00494314314,3.383911333388735,0
FRB20190303A,FRB20191231A,58848.637378202475,2.5802220829847937,0
FRB20190224D,FRB20200109B,58857.73587574189,7.810931392129405,0
FRB20190303A,FRB20200112A,58860.6017833324,1.1313294354393941,0
FRB20200118D,FRB20200118D,58866.302731043994,0.9493005802427888,0
FRB20190226B,FRB20200118B,58866.76277210549,3.673977145044911,0
FRB20180916B,FRB20200120A,58868.07585774539,6.714254188305514,1
FRB20200120E,FRB20200120E,58868.41499982588,1.5944667060779814,1
FRB20181017A,FRB20200121A,58869.714781351715,4.6141608968276735,0
FRB20181030A,FRB20200122A,58870.4309319183,1.8692136848101941,0
