episode,mjd,fluence_jyms,energy_erg
xu2022_spring,59314.36618226,1.9742,
xu2022_spring,59314.36700038,0.4558,
xu2022_spring,59314.3670008,9.1827,
xu2022_spring,59314.36718709,2.6766,
xu2022_spring,59314.36908368,3.3344,
xu2022_spring,59314.37138845,0.9253,
xu2022_spring,59314.37220371,0.3085,
xu2022_spring,59314.37244247,0.1512,
xu2022_spring,59314.37251047,0.6264,
xu2022_spring,59314.37323659,0.2088,
xu2022_spring,59314.37465593,0.0787,
xu2022_spring,59314.3749842,7.999,
xu2022_spring,59314.37533115,7.1773,
xu2022_spring,59314.37559412,3.924,
xu2022_spring,59314.378148,0.2414,
xu2022_spring,59314.37840354,0.1355,
xu2022_spring,59314.37864288,0.3782,
xu2022_spring,59314.38072794,3.5181,
xu2022_spring,59314.38082828,0.1595,
xu2022_spring,59314.38422932,1.0365,
xu2022_spring,59314.38539872,0.3258,
xu2022_spring,59314.38565937,0.3522,
xu2022_spring,59314.38574316,1.4616,
xu2022_spring,59314.38632404,0.1797,
xu2022_spring,59314.38813784,3.3019,
xu2022_spring,59314.39029436,1.735,
xu2022_spring,59314.39063769,0.251,
xu2022_spring,59314.39083619,0.5661,
xu2022_spring,59314.39107239,0.412,
xu2022_spring,59314.39288691,0.2138,
xu2022_spring,59314.39340643,0.7394,
xu2022_spring,59314.39390519,1.3363,
xu2022_spring,59314.39562365,0.2309,
xu2022_spring,59314.39562402,3.0349,
xu2022_spring,59314.39653257,7.0517,
xu2022_spring,59314.39725253,0.4846,
xu2022_spring,59314.39760221,6.1166,
xu2022_spring,59314.39760256,0.0837,
xu2022_spring,59314.39788281,4.7029,
xu2022_spring,59314.39838041,0.2,
xu2022_spring,59314.3983808,1.9688,
xu2022_spring,59314.39853703,0.4469,
xu2022_spring,59314.39864308,1.0635,
xu2022_spring,59314.40190793,3.4419,
xu2022_spring,59314.40242262,0.1853,
xu2022_spring,59314.40276289,0.393,
xu2022_spring,59314.40302372,1.2749,
xu2022_spring,59314.40342723,0.0787,
xu2022_spring,59314.40376469,0.0602,
xu2022_spring,59315.31900409,0.1523,
xu2022_spring,59315.31924302,0.3874,
xu2022_spring,59315.32006027,0.1426,
xu2022_spring,59315.32006048,0.5758,
xu2022_spring,59315.32006074,0.1243,
xu2022_spring,59315.32067102,3.8826,
xu2022_spring,59315.32170403,1.8373,
xu2022_spring,59315.32257221,0.2394,
xu2022_spring,59315.32437385,5.2142,
xu2022_spring,59315.32490956,1.1234,
xu2022_spring,59315.32576701,1.1613,
xu2022_spring,59315.32619664,0.3488,
xu2022_spring,59315.32743991,0.256,
xu2022_spring,59315.32772215,0.4696,
xu2022_spring,59315.32808336,0.2808,
xu2022_spring,59315.32809877,13.9771,
xu2022_spring,59315.32810068,1.3213,
xu2022_spring,59315.32812148,0.1008,
xu2022_spring,59315.32817977,0.3762,
xu2022_spring,59315.32838593,0.1714,
xu2022_spring,59315.32937209,0.0597,
xu2022_spring,59315.3297416,0.1267,
xu2022_spring,59315.32974178,0.0795,
xu2022_spring,59315.33074077,0.2691,
xu2022_spring,59315.33225013,0.9333,
xu2022_spring,59315.33280454,3.4749,
xu2022_spring,59315.33340279,0.1102,
xu2022_spring,59315.33443789,0.4862,
xu2022_spring,59315.33577519,0.3464,
xu2022_spring,59315.33671417,0.3053,
xu2022_spring,59315.33711482,0.9522,
xu2022_spring,59315.33974511,9.9211,
xu2022_spring,59315.34000556,12.9952,
xu2022_spring,59315.34000693,2.2048,
xu2022_spring,59315.34005377,0.3374,
xu2022_spring,59315.3408296,0.0816,
xu2022_spring,59315.34107444,0.1782,
xu2022_spring,59315.34191804,0.5134,
xu2022_spring,59315.34277838,0.2469,
xu2022_spring,59315.34386183,0.2694,
xu2022_spring,59315.34386214,0.408,
xu2022_spring,59315.34528162,0.2214,
xu2022_spring,59315.34528258,0.8846,
xu2022_spring,59315.34809835,0.3368,
xu2022_spring,59315.350593,0.3694,
xu2022_spring,59315.35230328,0.7995,
xu2022_spring,59315.35260984,0.5846,
xu2022_spring,59315.35261128,1.8234,
xu2022_spring,59315.35285313,0.0947,
xu2022_spring,59315.3528532,0.1014,
xu2022_spring,59315.35315074,0.4131,
xu2022_spring,59315.35354318,2.7712,
xu2022_spring,59315.35547917,0.1632,
xu2022_spring,59315.35547939,0.3579,
xu2022_spring,59315.35586417,0.2347,
xu2022_spring,59315.3559968,0.2027,
xu2022_spring,59315.35743192,0.9043,
xu2022_spring,59315.35907004,11.7562,
xu2022_spring,59315.3591629,0.0704,
xu2022_spring,59315.35931636,0.4989,
xu2022_spring,59315.3622347,2.573,
xu2022_spring,59315.36366409,1.2427,
xu2022_spring,59315.36484331,0.0578,
xu2022_spring,59315.36519743,0.7392,
xu2022_spring,59315.36519893,0.488,
xu2022_spring,59315.365843,0.4304,
xu2022_spring,59315.3658436,1.7011,
xu2022_spring,59315.36652928,0.4443,
xu2022_spring,59315.36760383,1.1328,
xu2022_spring,59315.37261378,2.3051,
xu2022_spring,59315.3754897,1.7243,
xu2022_spring,59315.37566396,1.7448,
xu2022_spring,59315.37603116,0.159,
xu2022_spring,59315.37619472,9.695,
xu2022_spring,59315.37702933,0.0826,
xu2022_spring,59315.37904039,1.1421,
xu2022_spring,59315.37983625,0.1395,
xu2022_spring,59315.38074691,2.5309,
xu2022_spring,59315.38131337,0.2987,
xu2022_spring,59315.38147049,0.1874,
xu2022_spring,59315.3835006,0.3048,
xu2022_spring,59315.38388435,0.4378,
xu2022_spring,59315.38389834,0.1112,
xu2022_spring,59315.38415569,0.5459,
xu2022_spring,59315.38466822,0.175,
xu2022_spring,59315.38472879,3.0648,
xu2022_spring,59315.38613109,0.2635,
xu2022_spring,59315.38663335,0.3128,
xu2022_spring,59315.38755118,0.2738,
xu2022_spring,59315.38817761,1.2738,
xu2022_spring,59315.388866,0.1534,
xu2022_spring,59315.38976357,0.1435,
xu2022_spring,59315.39003234,0.5146,
xu2022_spring,59315.3902037,0.2344,
xu2022_spring,59315.39167549,3.1002,
xu2022_spring,59315.39389467,0.0954,
xu2022_spring,59315.39393273,0.0923,
xu2022_spring,59315.39483121,3.2256,
xu2022_spring,59315.39595788,0.1256,
xu2022_spring,59315.39609746,8.8442,
xu2022_spring,59315.39708953,0.1832,
xu2022_spring,59315.3984502,1.4397,
xu2022_spring,59315.39847464,0.8002,
xu2022_spring,59315.39847503,4.7205,
xu2022_spring,59315.39973392,0.1362,
xu2022_spring,59315.40024675,0.261,
xu2022_spring,59315.40079559,3.9222,
xu2022_spring,59315.40085522,3.1902,
xu2022_spring,59316.31861985,0.2149,
xu2022_spring,59316.31922755,9.0507,
xu2022_spring,59316.32001613,0.5405,
xu2022_spring,59316.32017823,0.1046,
xu2022_spring,59316.32371255,0.1181,
xu2022_spring,59316.32539008,0.7368,
xu2022_spring,59316.32539186,0.4682,
xu2022_spring,59316.32758533,10.7064,
xu2022_spring,59316.32896151,0.4157,
xu2022_spring,59316.32930489,1.1114,
xu2022_spring,59316.33023948,0.0954,
xu2022_spring,59316.33023962,0.5462,
xu2022_spring,59316.33157607,0.0656,
xu2022_spring,59316.33258074,0.4238,
xu2022_spring,59316.33563887,0.2531,
xu2022_spring,59316.33704668,0.0491,
xu2022_spring,59316.33768745,0.0886,
xu2022_spring,59316.33850641,4.4803,
xu2022_spring,59316.33853087,0.5747,
xu2022_spring,59316.33859528,4.691,
xu2022_spring,59316.33894059,3.7541,
xu2022_spring,59316.33894162,0.4787,
xu2022_spring,59316.33993911,0.18,
xu2022_spring,59316.34034253,3.1066,
xu2022_spring,59316.34280654,6.0821,
xu2022_spring,59316.34426478,0.0704,
xu2022_spring,59316.34542143,2.5069,
xu2022_spring,59316.34562954,0.7024,
xu2022_spring,59316.34563001,9.7379,
xu2022_spring,59316.34563099,9.2869,
xu2022_spring,59316.34626151,0.2402,
xu2022_spring,59316.34626174,0.2014,
xu2022_spring,59316.34703046,2.4838,
xu2022_spring,59316.34803452,0.6424,
xu2022_spring,59316.34823114,3.6813,
xu2022_spring,59316.34856858,1.2363,
xu2022_spring,59316.34877808,0.1166,
xu2022_spring,59316.35062088,3.701,
xu2022_spring,59316.35081257,0.4565,
xu2022_spring,59316.3511314,0.797,
xu2022_spring,59316.35845732,0.3298,
xu2022_spring,59316.36190681,0.5754,
xu2022_spring,59316.36283527,0.5536,
xu2022_spring,59316.36283571,0.371,
xu2022_spring,59316.36375296,0.2437,
xu2022_spring,59316.36530522,0.6539,
xu2022_spring,59316.37260809,5.9752,
xu2022_spring,59316.37260836,0.2085,
xu2022_spring,59316.37381001,3.2648,
xu2022_spring,59316.37543734,0.1424,
xu2022_spring,59316.38038178,0.0344,
xu2022_spring,59316.38098547,0.1024,
xu2022_spring,59316.38098657,0.2114,
xu2022_spring,59316.38300987,3.2738,
xu2022_spring,59316.38337492,0.467,
xu2022_spring,59316.38357182,0.3398,
xu2022_spring,59316.38740687,0.0974,
