name,mjd_start,mjd_end,exposure_s
PSR_J0537-6910,58507.2847222222,58507.7523148148,1603.0
PSR_J0537-6910,58510.2493055556,58510.3888888889,131.0
PSR_J0537-6910,58511.5430555556,58511.5458217593,0.0
PSR_J0537-6910,58512.1206018518,58512.6374189815,4.0
PSR_J0537-6910,58517.5594907407,58517.8952662037,2573.0
PSR_J0537-6910,58518.0124421296,58518.9272106482,2145.0
PSR_J0537-6910,58520.8550925926,58520.9864236111,2212.0
PSR_J0537-6910,58521.0388888889,58521.0516435185,57.0
PSR_J0537-6910,58522.2731481481,58522.5349305556,500.0
PSR_J0537-6910,58525.5631944444,58525.6992939815,567.0
PSR_J0537-6910,58526.2655092593,58526.9856712963,2698.0
PSR_J0537-6910,58527.0337962963,58527.8233796296,1255.0
PSR_J0537-6910,58530.1733796296,58530.9003819444,5868.42660269141
PSR_J0537-6910,58531.0124537037,58531.0938541667,1082.0
PSR_J0537-6910,58533.5216782407,58533.8520601852,3189.0
PSR_J0537-6910,58537.9796296296,58537.9877777778,10.0
PSR_J0537-6910,58538.0443402778,58538.9585648148,4608.0
PSR_J0537-6910,58539.0138888889,58539.0229166667,181.0
PSR_J0537-6910,58544.3598032407,58544.4944444444,700.0
PSR_J0537-6910,58545.3640740741,58545.50625,3132.0
PSR_J0537-6910,58552.7042939815,58552.9717592593,2187.0
PSR_J0537-6910,58554.2488773148,58554.712962963,3751.0
PSR_J0537-6910,58558.0608796296,58558.3235416667,1405.0
PSR_J0537-6910,58558.5623611111,58558.9101851852,5931.0
PSR_J0537-6910,58560.5719907407,58560.9667013889,1342.0
PSR_J0537-6910,58561.0909722222,58561.2250462963,2040.0
PSR_J0537-6910,58571.1159722222,58571.5273148148,7870.0
PSR_J0537-6910,58585.5968171296,58585.9976851852,7096.0
PSR_J0537-6910,58586.0479398148,58586.3851851852,3264.0
PSR_J0537-6910,58600.6074074074,58600.8738425926,1213.0
PSR_J0537-6910,58600.9895717593,58601.9039351852,2791.0
PSR_J0537-6910,58602.4103356482,58602.5476851852,1194.0
PSR_J0537-6910,58609.339849537,58609.5476851852,2394.0
PSR_J0537-6910,58615.6504976852,58615.9851851852,4608.0
PSR_J0537-6910,58616.0366087963,58616.3715277778,4985.0
PSR_J0537-6910,58624.4699074074,58624.9374884259,5876.0
PSR_J0537-6910,58628.9875347222,58629.5886574074,10826.0
PSR_J0537-6910,58645.0189814815,58645.9386574074,9662.0
PSR_J0537-6910,58645.9885416667,58646.0030092593,706.0
PSR_J0537-6910,58649.0862962963,58649.2191319444,0.0
PSR_J0537-6910,58659.1355902778,58659.9863425926,5341.0
PSR_J0537-6910,58660.0365856482,58660.0506944444,207.0
PSR_J0537-6910,58672.0061574074,58672.9226851852,9834.0
PSR_J0537-6910,58678.2043981481,58678.9945717593,2978.0
PSR_J0537-6910,58682.5148148148,58682.9928240741,7703.0
PSR_J0537-6910,58683.2857060185,58683.4439814815,4276.0
PSR_J0537-6910,58686.0115740741,58686.0219791667,797.0
PSR_J0537-6910,58687.605787037,58687.7425810185,0.0
PSR_J0537-6910,58701.2005324074,58701.7430555556,3426.0
PSR_J0537-6910,58702.0409722222,58702.9523148148,4262.0
PSR_J0537-6910,58703.0698958333,58703.1451388889,0.0
PSR_J0537-6910,58704.6835648148,58704.6902199074,275.0
PSR_J0537-6910,58705.7157407407,58705.7843402778,232.0
PSR_J0537-6910,58714.3615740741,58714.9578703704,7857.0
PSR_J0537-6910,58715.0118055556,58715.4733796296,3472.0
PSR_J0537-6910,58718.2347222222,58718.237662037,0.0
PSR_J0537-6910,58720.0196759259,58720.9341319444,2816.0
PSR_J0537-6910,58721.1152777778,58721.774224537,1194.0
PSR_J0537-6910,58730.1986805556,58730.5284722222,0.0
PSR_J0537-6910,58733.0992361111,58733.8854166667,8543.0
PSR_J0537-6910,58740.8968171296,58740.9111342593,1167.0
PSR_J0537-6910,58741.4833333333,58741.4916782407,0.0
PSR_J0537-6910,58742.0601851852,58742.5236226852,2901.0
PSR_J0537-6910,58744.0574074074,58744.9745486111,1642.0
PSR_J0537-6910,58745.2856481482,58745.825462963,4926.0
PSR_J0537-6910,58746.2541666667,58746.4548032407,594.0
PSR_J0537-6910,58747.0293981481,58747.8117824074,1022.0
PSR_J0537-6910,58748.0653125,58748.7800694444,446.0
PSR_J0537-6910,58749.2928240741,58749.8197685185,305.0
PSR_J0537-6910,58751.4319444444,58751.8215046296,272.0
PSR_J0537-6910,58759.2884490741,58759.3032407407,1084.0
PSR_J0537-6910,58762.4333333333,58762.8972222222,4813.0
PSR_J0537-6910,58763.2076388889,58763.6719907407,5498.0
PSR_J0537-6910,58775.9106481482,58775.9898148148,610.0
PSR_J0537-6910,58777.7800578704,58777.9287037037,2338.0
PSR_J0537-6910,58778.0377662037,58778.3045949074,3292.91158381104
PSR_J0537-6910,58780.1719907407,58780.7043518519,4842.0
PSR_J0537-6910,58781.4046296296,58781.4150462963,604.0
PSR_J0537-6910,58785.3368055556,58785.9951388889,10356.0
PSR_J0537-6910,58790.1844675926,58790.1872685185,167.0
PSR_J0537-6910,58798.2113425926,58798.4837962963,1578.0
PSR_J0537-6910,58799.0512615741,58799.6389699074,2146.0
PSR_J0537-6910,58800.5962615741,58800.8651157407,2220.0
PSR_J0537-6910,58801.9504282407,58801.960150463,591.0
PSR_J0537-6910,58802.079375,58802.2837847222,2490.0
PSR_J0537-6910,58804.5325462963,58804.9283217593,2313.0
PSR_J0537-6910,58805.3043981481,58805.7023958333,722.0
PSR_J0537-6910,58808.5923611111,58808.7996990741,827.0
PSR_J0537-6910,58809.3728009259,58809.3756944444,0.0
PSR_J0537-6910,58810.0182175926,58810.7434606481,4054.0
PSR_J0537-6910,58816.4717592593,58816.4796412037,0.0
PSR_J0537-6910,58822.3180555556,58822.9761574074,10000.0
PSR_J0537-6910,58823.0269907407,58823.1053240741,775.0
PSR_J0537-6910,58828.0092824074,58828.2750231481,1211.0
PSR_J0537-6910,58834.524375,58834.5385532407,1050.0
PSR_J0537-6910,58834.594212963,58834.8445717593,2875.0
PSR_J0537-6910,58835.0238425926,58835.4252314815,6091.0
PSR_J0537-6910,58844.8479166667,58844.9852314815,1062.0
PSR_J0537-6910,58845.1041666667,58845.9507291667,3934.0
PSR_J0537-6910,58846.0710648148,58846.9875,7725.0
PSR_J0537-6910,58847.1712962963,58847.9430555556,2628.0
PSR_J0537-6910,58847.9874305556,58848.0076388889,905.0
PSR_J0537-6910,58854.1166666667,58854.1211342593,0.0
PSR_J0537-6910,58855.082974537,58855.6078472222,0.0
PSR_J0537-6910,58858.8894097222,58858.9689814815,1454.0
PSR_J0537-6910,58859.0183564815,58859.66875,4646.0
PSR_J0537-6910,58862.9030555556,58862.911087963,84.0
PSR_J0537-6910,58863.3553240741,58863.7504398148,1897.0
PSR_J0537-6910,58864.1784722222,58864.1936921296,888.0
PSR_J0537-6910,58869.988287037,58870.6488425926,6146.0
PSR_J0537-6910,58872.3112962963,58872.9696064815,2304.0
PSR_J0537-6910,58873.0192476852,58873.2918402778,642.0
PSR_J0537-6910,58874.1865856481,58874.9684722222,0.0
PSR_J0537-6910,58875.0271180556,58875.9358680556,0.0
PSR_J0537-6910,58875.9895833333,58876.3872685185,0.0
PSR_J0537-6910,58883.5171759259,58883.6631944444,3601.0
PSR_J0537-6910,58885.4668981481,58885.9898148148,4641.0
PSR_J0537-6910,58886.0373726852,58886.1150462963,413.0
PSR_J0537-6910,58888.3115740741,58888.3141666667,0.0
PSR_J0537-6910,58890.1865740741,58890.7074074074,486.0
PSR_J0537-6910,58891.1467592593,58891.2888888889,62.0
PSR_J0537-6910,58897.794212963,58897.9784490741,3186.0
PSR_J0537-6910,58898.0390856481,58898.9046296296,7261.0
PSR_J0537-6910,58899.7976851852,58899.9310648148,680.0
PSR_J0537-6910,58900.1802083333,58900.9639699074,2258.0
PSR_J0537-6910,58901.0810185185,58901.9334490741,3863.0
PSR_J0537-6910,58902.2481018519,58902.324537037,437.0
PSR_J0537-6910,58916.1663078704,58916.9513888889,4999.0
PSR_J0537-6910,58917.0051851852,58917.9861111111,8752.0
PSR_J0537-6910,58918.0375925926,58918.3740740741,4579.0
PSR_J0537-6910,58919.2071759259,58919.2142476852,375.0
PSR_J0537-6910,58920.1780092593,58920.4409606481,1780.0
PSR_J0537-6910,58922.5666666667,58922.5713425926,311.0
PSR_J0537-6910,58925.3416666667,58925.4844907407,2325.0
PSR_J0537-6910,58926.3761574074,58926.4534722222,1313.0
PSR_J0537-6910,58929.0041666667,58929.9375,14914.0
PSR_J0537-6910,58929.9921296296,58930.9689467593,4809.0
PSR_J0537-6910,58931.0821759259,58931.8724189815,8151.0
PSR_J0537-6910,58931.9863425926,58932.0013657407,1037.0
PSR_J0537-6910,58932.4363425926,58932.9046064815,4395.0
PSR_J0537-6910,58953.0646412037,58953.9826388889,6421.0
PSR_J0537-6910,58954.0305092593,58954.8836921296,10382.0
PSR_J0537-6910,58956.1006944444,58956.1055208333,356.0
PSR_J0537-6910,58960.1063541667,58960.8259722222,1844.0
PSR_J0537-6910,58960.9482523148,58960.9566087963,26.0
PSR_J0537-6910,58961.0771875,58961.926412037,616.0
PSR_J0537-6910,58962.7592013889,58962.9641203704,1804.0
PSR_J0537-6910,58963.1472916667,58963.9871296296,1928.0
PSR_J0537-6910,58964.0313194444,58964.6900462963,13947.0
PSR_J0537-6910,58981.1283564815,58981.8509259259,8099.0
PSR_J0537-6910,58982.0962037037,58982.8189814815,7253.0
PSR_J0537-6910,58983.1914351852,58983.593287037,3145.0
PSR_J0537-6910,58984.8921296296,58984.9625347222,251.0
PSR_J0537-6910,58985.0233796296,58985.7386574074,1596.0
PSR_J0537-6910,58986.2898148148,58986.2938078704,0.0
PSR_J0537-6910,58989.1300925926,58989.921400463,4154.0
PSR_J0537-6910,58990.1651157407,58990.9530092593,3183.0
PSR_J0537-6910,58991.0087962963,58991.1474537037,1684.0
PSR_J0537-6910,58995.1483796296,58995.9962962963,10235.0
PSR_J0537-6910,58996.0439467593,58996.6414351852,6583.0
PSR_J0537-6910,59006.9299537037,59006.9418981482,113.0
PSR_J0537-6910,59006.9946759259,59007.9743055556,2795.0
PSR_J0537-6910,59008.1569444444,59008.2328703704,403.0
PSR_J0537-6910,59009.1902430556,59009.9773148148,5109.0
PSR_J0537-6910,59010.0291666667,59010.9465277778,3782.0
PSR_J0537-6910,59011.3854166667,59011.5275462963,502.0
PSR_J0537-6910,59012.2891203704,59012.4974537037,1052.0
PSR_J0537-6910,59013.2601157407,59013.2717592593,0.0
PSR_J0537-6910,59014.3583333333,59014.3696759259,0.0
PSR_J0537-6910,59015.0706018519,59015.5321759259,945.0
PSR_J0537-6910,59016.21625,59016.7429050926,2550.0
PSR_J0537-6910,59017.1838541667,59017.1976851852,710.0
PSR_J0537-6910,59018.6045949074,59018.9414351852,940.0
PSR_J0537-6910,59019.2499421296,59019.5226851852,1227.0
PSR_J0537-6910,59020.3490972222,59020.3622685185,925.0
PSR_J0537-6910,59020.9307638889,59020.9435185185,17.0
PSR_J0537-6910,59021.1877546296,59021.9764583333,4541.0
PSR_J0537-6910,59022.2862384259,59022.9449074074,2946.0
PSR_J0537-6910,59023.4513888889,59023.6550925926,2148.0
PSR_J0537-6910,59025.0668981482,59025.9791666667,2063.0
PSR_J0537-6910,59026.4002314815,59026.7328703704,805.0
PSR_J0537-6910,59031.3853009259,59031.7638888889,3123.0
