t_days,size
0.285075,2.27
0.285332,2.71
0.285486,2.39
0.285624,2.35
0.285762,2.64
0.285884,2.38
0.285993,2.52
0.286290,3.46
0.286587,2.29
0.287071,3.01
0.287301,3.88
0.287752,3.56
0.288634,2.72
0.288876,2.34
0.289064,2.35
0.289172,2.55
0.289326,2.7
0.290142,2.2
0.290353,2.02
0.290394,2.2
0.290584,2.85
0.290755,2.87
0.290837,2.62
0.290943,3.22
0.291229,2.41
0.291520,2.31
0.291520,2.02
0.291682,2.53
0.291875,2.15
0.292048,2.83
0.292396,2.24
0.292585,2.62
0.292694,2.71
0.292937,2.32
0.293446,2.29
0.293482,3.09
0.293982,2.14
0.294025,2.14
0.294113,2.17
0.294605,2.39
0.294759,3.34
0.295091,2.55
0.295184,3.75
0.295813,2.52
0.296053,2.53
0.296449,2.19
0.296620,2.13
0.297141,2.34
0.297194,2.29
0.297356,2.38
0.297905,2
0.298079,2.34
0.298282,2.35
0.298415,2.67
0.298437,2.31
0.299189,2.49
0.299271,2.44
0.299655,2.14
0.299768,2.45
0.299998,2.05
0.300007,2.42
0.300272,2.68
0.300516,2.66
0.300885,2.72
0.300922,2.86
0.301063,3
0.301252,2.78
0.301667,2.83
0.302398,2.78
0.302402,2.06
0.302617,2.29
0.302966,2.16
0.303168,2.12
0.303186,2.11
0.303529,2.09
0.303543,2.22
0.303601,2.91
0.303811,2.38
0.304040,3.02
0.304174,2.86
0.304794,2.46
0.304922,2.67
0.305462,2.8
0.305652,2.38
0.305732,3.62
0.306266,2.53
0.306428,2.56
0.306767,2.1
0.307073,2.18
0.307282,2.27
0.307290,2.3
0.307523,2.24
0.307609,2.32
0.307712,2.61
0.307923,2.88
0.308289,3.09
0.308338,3.21
0.308628,2.84
0.308937,2.5
0.309148,2.7
0.309217,3.1
0.309309,3.44
0.309731,2.73
0.309762,2.77
0.309985,2.07
0.310207,2.1
0.310396,2.24
0.310765,2.56
0.310835,2.43
0.310984,2.44
0.311052,2.44
0.311154,2.32
0.311449,2.42
0.311485,2.34
0.311628,2.48
0.311740,2.59
0.312143,2.4
0.312168,2.8
0.312649,2.25
0.312718,2.31
0.313055,2.07
0.313099,2.17
0.313338,2.04
0.313387,2.48
0.313436,2.74
0.313673,2.25
0.314125,2.34
0.314221,2.69
0.314315,2.24
0.314730,2.3
0.315275,2.25
0.315435,2.41
0.315501,2.46
0.315766,2.56
0.315950,2.44
0.316175,2.96
0.316332,3.33
0.317114,2.16
0.317262,2.3
0.317402,2.24
0.317643,2.2
0.317662,2.26
0.318064,3.05
0.318206,2.79
0.318781,3.21
0.318936,3.43
0.319811,2.7
0.320283,3.24
0.320431,3.73
0.320722,2.9
0.321144,2.66
0.321379,2.25
0.321626,2.04
0.321871,2.31
0.322014,2.52
0.322075,3.87
0.322816,2.18
0.322967,3.55
0.323706,2.15
0.323886,2.17
0.324916,2.05
0.325033,2.58
0.325076,2.62
0.325239,2.04
0.325561,2.76
0.325717,2.12
0.325955,2
0.325990,2.57
0.326084,2.15
0.326405,3.24
0.326741,2.44
0.326962,2.05
0.327546,2.02
0.327673,2.04
0.327814,2.15
0.327884,2.18
0.328277,2.02
0.328395,2.16
0.328500,2.65
0.328973,2.62
0.329018,2.54
0.329192,2.25
0.329443,2.61
0.329792,2.65
0.329817,2.63
0.330055,2.29
0.330614,2.37
0.330624,2.7
0.330706,2.59
0.330742,2.56
0.331245,2.21
0.331350,2.01
0.331500,2.03
0.331640,2.83
0.331817,2.24
0.331935,2.17
0.332007,2.78
0.332015,2.63
0.332350,2.53
0.332658,2.61
0.333227,3.62
0.333606,2.58
0.333714,2.4
0.333937,2.29
0.334198,2.49
0.334282,2.55
0.334695,2.51
0.334729,2.65
0.334983,2.44
0.335196,2.27
0.335328,2.58
0.335357,2.75
0.335854,2.59
0.336444,2.47
0.336587,2.2
0.336660,2.15
0.337043,2.33
0.337788,2.05
0.337900,2.48
0.338160,2.55
0.338198,2.66
0.338538,2.5
0.338603,2.68
0.338646,2.87
0.339935,2.68
0.340260,2.44
0.340603,2.31
0.341023,2.79
0.341585,2.31
0.341637,2.17
0.341897,2.5
0.341998,2.57
0.342168,2.41
0.342355,2.25
0.342420,2.71
0.343169,2.01
0.343523,2.23
0.344350,3.27
0.344367,3.53
0.344830,2.51
0.345068,2.67
0.345195,2.14
0.345538,3.59
