t_days,size
5.006600,2.99
5.008366,2.83
5.033138,2.85
5.044780,2.52
5.059534,2.98
5.071054,3.01
5.073595,2.54
5.078178,2.66
5.078594,2.67
5.084264,3.58
5.094853,2.66
5.095603,2.55
5.096417,3.12
5.106105,2.53
5.107831,2.52
5.118089,2.5
5.136376,2.67
5.151393,2.96
5.156753,3.02
5.161107,3.8
5.233614,2.5
5.242129,2.57
5.256109,2.56
5.263173,3.23
5.277483,2.59
5.282869,2.52
5.316027,2.67
5.326750,3.47
5.348383,3.5
5.356642,2.68
5.361621,2.61
5.368984,2.65
5.379161,2.64
5.397587,2.61
5.406802,2.95
5.421432,3.18
5.428755,2.51
5.479986,2.51
5.493726,2.93
5.504320,2.52
5.513569,2.71
5.515389,3.35
5.533339,2.7
5.544128,3.16
5.633260,2.67
5.646900,2.77
5.662930,2.62
5.769856,2.95
5.784177,2.68
5.791630,2.89
5.816354,2.52
5.855383,2.81
5.863641,2.59
5.874112,2.58
5.876054,2.98
5.876105,3.02
5.877030,2.5
5.901155,2.67
5.942867,2.51
5.973669,3.33
6.002128,3.95
6.029993,2.85
6.040243,2.58
6.063585,2.67
6.071176,2.53
6.077570,2.96
6.079100,3.98
6.124312,2.62
6.162773,2.73
6.165536,3.71
6.174990,2.54
6.176905,2.78
6.226308,2.64
6.258880,2.72
6.313958,2.58
6.324062,2.62
6.371841,2.67
6.386263,2.56
6.387085,2.68
6.401903,3.79
6.430777,2.8
6.437367,2.78
6.448071,4.18
6.491119,3.36
6.491383,3.77
6.494839,2.62
6.495717,2.99
6.549619,3.46
6.566508,2.54
6.592463,4.99
6.595486,3.12
6.597928,2.76
6.598590,2.75
6.600358,2.71
6.601411,2.73
6.603065,3.24
6.603755,2.68
6.609438,2.5
6.609939,2.77
6.610530,2.88
6.613717,3.69
6.615738,2.76
6.615961,3.28
6.619953,4.06
6.621407,2.67
6.622186,3.68
6.623904,3.54
6.647653,2.59
6.648137,2.92
6.649974,2.8
6.663906,2.79
6.713508,2.55
6.725552,2.89
6.733549,2.59
6.737796,3.29
6.740304,2.51
6.751447,2.98
6.763406,3.25
6.764142,4.06
6.765173,4.18
6.766078,3.28
6.790029,2.68
6.794644,3.84
6.811474,2.95
6.833756,2.59
6.842087,3.35
6.846446,3.34
6.880310,2.53
6.886036,3.06
6.899199,2.57
6.908297,2.67
6.934311,2.54
6.935829,2.56
6.996364,2.81
6.996753,2.63
7.018865,2.56
7.026206,2.61
7.064924,3.01
7.081124,2.96
7.087217,2.63
7.106849,2.98
7.162073,2.7
7.197990,2.54
7.199905,2.61
7.200116,2.59
7.269540,2.52
7.310262,2.55
7.346938,2.6
7.350428,2.87
7.363397,2.7
7.369920,2.94
7.393063,2.5
7.393346,2.61
7.428830,3.05
7.431086,3.19
7.463255,3.09
7.465661,2.5
7.502284,3.22
7.507869,2.93
7.579646,2.62
7.593701,2.5
7.619298,2.64
7.641243,2.72
7.644877,2.53
7.704679,2.95
7.753682,2.61
7.925579,3.02
7.947981,2.7
7.985715,2.98
8.018292,3.48
8.022818,2.54
8.104048,3.36
8.143834,2.57
8.178014,2.74
8.250555,3.52
8.363509,3.29
8.428993,3.58
8.497755,2.5
8.540349,2.72
8.573767,3.34
8.588308,2.78
8.637926,2.63
8.638291,2.68
8.670031,3.03
8.683324,2.94
8.684586,2.76
8.710236,2.71
8.711810,2.76
8.802780,2.89
8.805596,2.62
8.864807,2.66
8.882859,3.12
8.928250,2.92
8.928606,2.95
8.935646,2.54
9.020262,2.76
9.149138,2.52
9.185811,2.61
9.225775,3.03
9.260928,2.62
9.303411,2.8
9.431291,2.59
9.472865,2.57
9.534263,2.76
9.577641,2.89
9.579960,2.71
9.585492,2.51
9.608838,3.36
9.640501,3.16
9.663198,2.63
9.686881,3.65
9.687748,4.63
9.691329,2.59
9.704214,2.59
9.754801,3.69
9.764987,2.69
9.813419,2.77
9.873463,2.61
9.893575,2.5
9.911866,2.85
9.935364,2.9
10.053211,2.72
10.058056,3.28
10.059800,2.6
10.080339,3.29
10.084128,2.91
10.106520,3.18
10.150263,2.87
10.171464,2.71
10.191349,2.56
10.272849,2.81
10.330363,2.55
10.483486,2.62
10.521790,2.58
10.542786,2.97
10.743916,3.06
10.764296,2.7
10.851723,3.07
10.866910,3.06
11.063249,3.05
11.063818,2.89
11.076939,3.21
11.161642,2.85
11.266047,2.63
11.268743,3.28
11.275968,2.68
11.278860,2.88
11.281155,2.82
11.449142,2.99
11.522546,2.91
11.667816,2.57
11.709333,2.68
11.744063,3.43
11.766006,3.08
11.796434,3.14
11.834365,2.61
11.861107,3.39
11.942626,2.92
11.949281,3.18
12.023838,3.22
12.287794,2.73
12.374990,2.55
12.459330,2.5
12.613671,3.13
12.620745,2.57
12.635493,3.37
12.717841,2.59
12.861527,3.1
13.058068,2.51
13.101105,2.58
13.102368,2.55
13.149393,2.96
13.319899,2.65
13.445119,4.31
13.470933,2.85
13.475116,2.65
13.502506,2.59
13.510676,2.56
13.581489,2.63
13.590514,3.47
13.602222,3.52
13.656877,2.6
13.658067,3.08
13.671347,2.5
13.684148,2.55
13.714585,2.69
13.793144,3.05
13.896107,3.28
13.896914,2.54
13.909337,2.76
13.992005,2.62
14.009118,2.59
14.067592,4.11
14.139496,2.68
14.318259,3.27
14.391179,3.84
14.733959,2.79
14.785413,2.52
14.795504,2.78
14.937561,2.7
14.984900,2.59
15.009950,2.81
15.189162,2.6
15.212007,3.23
15.417522,3.26
15.488058,2.76
15.552783,2.5
15.710957,3.44
15.750036,2.65
15.781887,2.5
15.784007,2.5
15.784106,3.24
15.848034,3.08
15.998694,3.15
16.002591,2.94
16.003349,3.42
16.052871,2.64
16.116497,2.75
16.116630,2.74
16.214391,2.87
16.223453,2.94
16.268147,3.27
16.303936,2.56
16.381519,2.85
16.719630,3
16.741069,2.66
16.778787,2.67
16.866360,2.57
17.070240,2.77
17.092341,2.91
17.165876,2.76
17.300837,3.44
17.336505,2.98
17.421898,2.63
17.626689,2.87
17.667872,2.89
17.928306,2.54
17.942450,3.02
17.980879,2.61
18.007796,2.73
18.039392,3.29
18.041279,3.77
18.064095,4.04
18.065528,3.46
18.092304,2.95
18.112572,3.21
18.269076,2.56
18.487190,2.83
18.706065,3.2
19.051228,2.77
19.128030,3.53
19.339591,2.56
19.505461,2.89
19.718952,3.31
19.726760,2.74
19.886004,2.65
19.912736,2.99
20.642926,3.04
20.671739,3.36
20.793940,2.57
20.853837,2.5
20.928211,3.08
20.980650,2.96
21.077719,3.5
21.667871,3.36
21.725002,2.69
21.847328,2.95
21.882321,2.53
21.988189,2.8
22.202899,4.03
22.251742,3.03
22.295928,2.9
22.297287,2.8
22.309180,3.21
22.352802,2.87
22.403588,2.9
22.404380,3.1
22.598411,2.9
22.653415,2.91
22.707184,2.56
22.822674,2.51
23.037000,2.57
23.122741,2.67
23.147592,2.61
23.242373,3.31
23.253019,2.51
23.442233,2.68
23.608110,3.43
23.860206,2.54
23.998744,2.66
24.058814,2.5
24.059006,2.85
24.214505,2.6
24.321452,2.76
24.380001,2.79
24.422694,2.98
24.640959,2.56
24.665825,2.83
24.770609,2.74
24.990014,2.79
24.991623,2.71
25.097074,3.36
25.238064,2.59
25.418219,2.75
25.541295,3.21
25.870908,2.94
25.946981,3.51
25.972234,3.15
26.003222,2.64
26.174689,3.1
26.413567,2.58
26.874272,2.76
27.267850,2.53
27.635942,2.56
27.665066,2.64
27.784580,2.52
28.131678,2.53
28.176078,2.96
28.193029,2.99
28.516785,3.12
28.957880,3.18
29.090572,2.53
29.372868,2.5
29.434867,2.59
29.517016,4.42
29.522287,2.68
29.705839,2.86
29.715114,3.13
29.794324,2.93
29.932075,2.67
30.096386,2.56
30.165367,2.51
30.174185,2.51
30.216043,2.76
30.379694,3.04
30.390810,2.58
30.546128,2.53
30.745067,2.5
31.000994,2.5
31.164368,3.06
31.164604,3
31.263642,2.74
31.302125,2.84
31.327818,2.54
31.328811,2.53
32.158418,2.59
32.208888,2.82
32.221512,2.76
32.486736,2.85
32.546245,2.98
32.964011,2.96
33.079527,2.73
33.101353,2.87
33.217648,3.49
33.223922,2.69
33.487466,2.57
33.722170,2.78
33.801254,2.76
34.167961,3.63
34.173736,2.83
34.477117,2.76
34.900402,2.71
35.069645,2.54
36.847212,3.19
37.139610,3.15
37.630469,2.67
37.728877,2.65
37.779830,2.8
38.522877,2.84
38.581179,3.03
39.307200,2.98
39.393106,2.78
40.052316,2.52
40.094987,2.71
40.101827,2.68
40.141208,3.46
40.239792,2.54
40.388633,2.69
40.636695,2.57
40.670759,2.78
40.828148,2.6
41.233446,2.8
41.982728,2.63
42.695220,3.28
42.696141,3.02
42.696723,2.76
