mjd,mag,magerr,band
58648.405995,19.0994,0.0523,zr
58648.406458,19.2569,0.0588,zr
58648.406898,19.0998,0.0524,zr
58648.407349,19.1908,0.0560,zr
58648.407801,19.1714,0.0552,zr
58648.411551,19.2505,0.0586,zr
58648.412014,19.1084,0.0527,zr
58648.412465,19.0549,0.0507,zr
58648.412905,19.1577,0.0547,zr
58648.413357,19.1503,0.0544,zr
58648.413808,19.2524,0.0587,zr
58648.414259,19.1009,0.0524,zr
58648.414711,19.2308,0.0577,zr
58648.415162,19.1290,0.0535,zr
58648.415625,19.1658,0.0550,zr
58648.416076,19.1426,0.0540,zr
58648.416528,19.1478,0.0543,zr
58648.417882,19.1555,0.0546,zr
58648.418333,19.1492,0.0543,zr
58648.418785,19.1358,0.0538,zr
58648.419236,19.1303,0.0536,zr
58648.419687,19.2188,0.0572,zr
58648.420139,19.2595,0.0590,zr
58648.420590,19.1352,0.0537,zr
58648.421042,19.2088,0.0568,zr
58648.421493,19.2701,0.0594,zr
58648.421944,19.1012,0.0524,zr
58648.422396,19.1377,0.0538,zr
58648.422847,19.1788,0.0555,zr
58648.423299,19.1485,0.0543,zr
58648.423750,19.1741,0.0553,zr
58648.424201,19.1974,0.0563,zr
58648.424653,19.1378,0.0539,zr
58648.425104,19.0952,0.0522,zr
58648.425556,19.1921,0.0561,zr
58648.426007,19.1749,0.0554,zr
58648.426458,19.2215,0.0573,zr
58648.426910,19.2152,0.0570,zr
58648.427361,19.1930,0.0561,zr
58648.427812,19.1020,0.0524,zr
58648.428264,19.1864,0.0558,zr
58648.428715,19.1042,0.0525,zr
58648.429167,19.1365,0.0538,zr
58648.429618,19.0514,0.0505,zr
58648.430069,19.1550,0.0545,zr
58648.430521,19.1652,0.0550,zr
58648.430984,19.1082,0.0527,zr
58648.431424,19.0917,0.0520,zr
58648.431875,19.2183,0.0572,zr
58648.432326,19.1977,0.0563,zr
58648.432778,19.1819,0.0556,zr
58648.433229,19.1897,0.0560,zr
58648.433692,19.0893,0.0520,zr
58648.434132,19.1139,0.0529,zr
58648.434595,19.2161,0.0571,zr
58648.435046,19.1276,0.0534,zr
58648.435498,19.1069,0.0526,zr
58648.435949,19.1761,0.0554,zr
58648.436852,19.2395,0.0581,zr
58648.437292,19.2359,0.0579,zr
58648.437743,19.1108,0.0528,zr
58648.438194,19.2461,0.0584,zr
58648.438657,19.1514,0.0544,zr
58648.439109,19.2209,0.0573,zr
58648.439560,19.1340,0.0537,zr
58648.440012,19.1809,0.0556,zr
58648.440463,19.1273,0.0534,zr
58648.440914,19.2399,0.0581,zr
58648.441366,19.1523,0.0544,zr
58652.444583,19.1445,0.0541,zr
58652.465139,19.9284,0.0825,zg
58655.401088,19.1303,0.0532,zr
58655.401539,19.1385,0.0535,zr
58655.454097,19.3165,0.0615,zr
58655.468229,20.0755,0.0922,zg
58658.404722,19.2106,0.0568,zr
58658.473831,20.3792,0.1158,zg
58661.432766,19.3087,0.0612,zr
58661.467072,20.0226,0.0886,zg
58665.434861,19.2111,0.0569,zr
58665.472419,19.9310,0.0827,zg
58668.361782,19.3097,0.0612,zr
58668.452002,20.1201,0.0954,zg
58671.428877,19.2834,0.0600,zr
58672.487118,19.2262,0.0571,zr
58674.458785,20.1643,0.0986,zg
58674.469792,19.2746,0.0596,zr
58675.373518,19.2518,0.0586,zr
58675.373970,19.2981,0.0607,zr
58675.386250,19.2692,0.0594,zr
58675.400104,19.2708,0.0595,zr
58675.408356,19.2526,0.0587,zr
58675.437847,19.1912,0.0560,zr
58675.438299,19.2984,0.0607,zr
58676.352234,19.1983,0.0563,zr
58676.352685,19.1701,0.0552,zr
58676.362593,19.2164,0.0571,zr
58676.364248,19.2436,0.0583,zr
58676.389155,19.3590,0.0635,zr
58676.389607,19.2878,0.0602,zr
58676.415139,19.2752,0.0597,zr
58677.301481,19.3257,0.0620,zr
58677.365741,19.2353,0.0579,zr
58677.366192,19.3193,0.0617,zr
58677.387500,19.2119,0.0569,zr
58677.398715,19.2815,0.0599,zr
58677.419896,19.3249,0.0619,zr
58677.432708,19.3387,0.0626,zr
58677.433160,19.2426,0.0582,zr
58677.478924,20.0902,0.0933,zg
58678.356181,19.2881,0.0602,zr
58678.356632,19.1566,0.0546,zr
58678.382257,19.1910,0.0560,zr
58678.391111,19.1758,0.0554,zr
58678.396100,19.2172,0.0571,zr
58678.402581,19.2540,0.0587,zr
58678.409155,19.3030,0.0609,zr
58678.409606,19.2879,0.0602,zr
58679.360035,19.3120,0.0613,zr
58679.360486,19.3520,0.0632,zr
58679.387651,19.2722,0.0595,zr
58679.388102,19.2476,0.0584,zr
58679.405104,19.3131,0.0614,zr
58679.412176,19.2889,0.0603,zr
58679.417025,19.3094,0.0612,zr
58679.423183,19.2683,0.0594,zr
58679.423634,19.2626,0.0591,zr
58680.352627,19.2621,0.0591,zr
58680.353079,19.1952,0.0562,zr
58680.360255,19.1735,0.0553,zr
58680.376169,19.3067,0.0611,zr
58680.379537,19.2911,0.0604,zr
58680.391123,19.2961,0.0606,zr
58680.408275,19.4083,0.0659,zr
58680.408727,19.1741,0.0553,zr
58680.469398,19.8794,0.0796,zg
58681.325706,19.2820,0.0600,zr
58681.326157,19.1300,0.0535,zr
58681.349653,19.1380,0.0539,zr
58681.350104,19.2936,0.0605,zr
58681.371308,19.2713,0.0595,zr
58681.373518,19.2786,0.0598,zr
58681.387558,19.2935,0.0605,zr
58681.388009,19.2014,0.0565,zr
58682.295833,19.3411,0.0627,zr
58682.346944,19.1759,0.0554,zr
58682.349803,19.3063,0.0611,zr
58682.359722,19.2514,0.0586,zr
58682.361782,19.2909,0.0604,zr
58683.334317,19.3054,0.0610,zr
58683.334768,19.3346,0.0624,zr
58683.349306,19.2394,0.0581,zr
58683.349757,19.2433,0.0583,zr
58683.364444,19.2397,0.0581,zr
58683.366643,19.2499,0.0585,zr
58683.421944,19.2686,0.0594,zr
58683.464838,20.0727,0.0920,zg
58684.305150,19.3332,0.0623,zr
58684.305602,19.2285,0.0576,zr
58684.334745,19.3838,0.0647,zr
58684.343252,19.2703,0.0594,zr
58684.343704,19.2458,0.0584,zr
58684.376285,19.3368,0.0625,zr
58684.376736,19.1929,0.0561,zr
58685.398056,19.2602,0.0586,zr
58685.398507,19.1966,0.0559,zr
58686.465949,20.0640,0.0914,zg
58690.306412,19.9356,0.0830,zg
58690.405625,19.2635,0.0591,zr
58690.496597,19.8861,0.1057,zg
58693.382627,19.3321,0.0623,zr
58693.407234,19.9783,0.0857,zg
58696.381100,19.3173,0.0616,zr
58696.407963,20.1197,0.0953,zg
58699.384653,19.2553,0.0588,zr
58699.433310,19.9941,0.0867,zg
