t_days,flux,flux_err
1419.84,1.70018,0.195707
1424.69,0.0543582,0.0083588
1427.75,0.0444615,0.00756844
1431.47,0.030932,0.00815269
1438.49,0.0426003,0.00588699
1438.71,0.0506531,0.00923784
1439.32,0.0412277,0.0126286
1439.45,0.0586431,0.0139384
1439.7,0.0467947,0.0141318
1440.5,0.0742638,0.0221066
1441.04,0.0516353,0.0147011
1442.1,0.0278804,0.0109054
1443.97,0.0391909,0.0133515
1444.09,0.0559513,0.0124288
1444.23,0.0329413,0.0135991
1444.29,0.0129321,0.0066645
1445.02,0.0348654,0.0121497
1445.68,0.0474614,0.0141653
1445.83,0.0714833,0.0147967
1457.38,0.0442391,0.0082426
1458.18,0.0437392,0.00886099
1468.01,0.0378807,0.00894927
1484.61,0.050606,0.00858295
1488.33,0.0462811,0.0111257
1493.25,0.0543353,0.00919954
1495.23,0.0522866,0.00930055
1498.23,0.0603615,0.0100899
1499.3,0.0482446,0.00916609
1501.1,0.0466643,0.00944551
1502.02,0.0253337,0.0068794
1507.74,0.0584394,0.00919025
1513.12,0.0504435,0.00877321
1516.61,0.0576204,0.00996367
1518.5,0.0756782,0.00996893
1521.83,0.0363566,0.00913185
1523.88,0.0443781,0.00908816
1525.6,0.101219,0.0170635
1529.39,0.047521,0.00908028
1533.32,0.049888,0.00814378
1538.44,0.0566785,0.00933675
1543.29,0.0552244,0.00838784
1545.28,0.0298534,0.00914447
1562.88,0.0634025,0.00913653
1563.74,0.0284291,0.00923086
1568.59,0.054526,0.0085758
1572.11,0.0440965,0.00823035
1576.67,0.0519706,0.010967
1577.37,0.0523264,0.00813704
1578.23,0.0597897,0.00861016
1580.22,0.0555333,0.00845935
1582.48,0.055083,0.0103282
1591.25,0.0484399,0.00870037
1594.03,0.0382631,0.00704125
1595.56,0.115909,0.0196175
1599.41,0.0492566,0.00840512
1600.22,0.0667782,0.0089732
1604.06,0.0506036,0.0109113
1605.32,0.0472533,0.00842028
1606.53,0.0549815,0.00841991
1611.18,0.0476713,0.00790175
1619.22,0.0329814,0.00653113
1620.68,0.0493926,0.00819757
1623.27,0.0404618,0.00746734
1627.07,0.0564698,0.0101866
1628.32,0.0571228,0.00915863
1629.25,0.0439009,0.0091733
1633.25,0.0499759,0.00918167
1635.02,0.0497231,0.00954618
1636.62,0.0693425,0.015441
1638.15,0.0466796,0.00850711
1642.92,0.0564132,0.00983713
1645.11,0.0561034,0.00932152
1647.93,0.0510484,0.00798591
1649.06,0.0480721,0.0111001
1742.82,0.0873028,0.0142981
